b = 178.4139114545757, l = -17.568134999683302, h = -6380316.623729643
b = -175.40584038956504, l = 106.27643259112955, h = -6380315.624608419
b = -125.04709860437232, l = 10.971099332203746, h = -6395691.736702848
b = -172.30199183617313, l = -119.96905364327354, h = -6380440.788561508
b = -175.25601840224462, l = 106.63108011553848, h = -6380320.4884303855
b = -124.86757686842995, l = 10.588451459967038, h = -6395775.410816352
b = -172.45503139515966, l = -119.73761056653248, h = -6380427.747631242
b = -175.1018458317473, l = 106.98711932738503, h = -6380325.9754965585
b = -124.69459036599768, l = 10.20731444936281, h = -6395856.454913191
b = -172.60504575785905, l = -119.50739746157647, h = -6380415.310403553
b = -174.94328031856008, l = 107.34447088698442, h = -6380332.125333365
b = -124.52685638248664, l = 9.828171712573928, h = -6395935.372026735
b = -172.7524243233647, l = -119.27784942628023, h = -6380403.433716043
b = -174.7800251577955, l = 107.70349114595676, h = -6380338.980393164
b = -124.36504134126795, l = 9.450614523593483, h = -6396011.90190595
b = -172.89698023706117, l = -119.04896304498497, h = -6380392.120355568
b = -174.61234045823247, l = 108.06355539253867, h = -6380346.55592245
b = -124.2081940816405, l = 9.07470292513942, h = -6396086.43607725
b = -173.0387239592225, l = -118.82114092980473, h = -6380381.349468105
b = -174.43998777136778, l = 108.42493307216779, h = -6380354.902562174
b = -124.05673306761892, l = 8.70074624262406, h = -6396158.792800232
b = -173.17791521003483, l = -118.59437653689167, h = -6380371.081441205
b = -174.26283583220803, l = 108.78798564248483, h = -6380364.056320452
b = -123.9104778393217, l = 8.328398421347964, h = -6396229.061897725
b = -173.31445026698833, l = -118.36852162702468, h = -6380361.3204299435
b = -174.08074662494047, l = 109.15217579737453, h = -6380374.055723615
b = -123.76936543312554, l = 7.957711653093523, h = -6396297.249845575
b = -173.44826066680693, l = -118.14345116337519, h = -6380352.044529354
b = -173.89377631848316, l = 109.51758628740222, h = -6380384.95400911
b = -123.63379623206201, l = 7.5889927434613815, h = -6396363.181645745
b = -173.57943124714294, l = -117.91942063743149, h = -6380343.236719581
b = -173.70170422727216, l = 109.88440499009604, h = -6380396.7871114155
b = -123.50233036754803, l = 7.221939680536575, h = -6396427.477076898
b = -173.7081722684756, l = -117.69616048439505, h = -6380334.860674901
b = -173.50470563757153, l = 110.25253552872346, h = -6380409.58783726
b = -123.37622887823036, l = 6.856857545168787, h = -6396489.586799257
b = -173.83425958087074, l = -117.47405282080655, h = -6380326.940878126
b = -173.30222247805074, l = 110.62207706853256, h = -6380423.435412249
b = -123.25492398295482, l = 6.493444132674212, h = -6396549.751763734
b = -173.95793316915857, l = -117.25283976074388, h = -6380319.417212572
b = -173.0946886011116, l = 110.99255467404467, h = -6380438.348278971
b = -123.13799969892028, l = 6.1323048978455335, h = -6396608.153592597
b = -174.07920086424355, l = -117.03250507278389, h = -6380312.299621173
b = -172.88172383807526, l = 111.36471164899339, h = -6380454.392230293
b = -123.02566594009865, l = 5.772532833181853, h = -6396664.691263475
b = -174.1980394416264, l = -116.81317877093166, h = -6380305.569279079
b = 103.48618322332611, l = -35.956595037463046, h = -6403749.746480988
b = 179.7064540694903, l = 115.26111290881029, h = -6380222.326295046
b = -146.11132476643607, l = -156.46566403430722, h = -6387408.965083549
b = -166.9000043856394, l = 128.501957693187, h = -6380549.933439534
b = 133.32244100219808, l = -26.244970582202612, h = -6392426.38098647
b = -173.5193286043123, l = -85.22518947690223, h = -6380432.734547704
b = 169.22160553019302, l = -155.54638790144526, h = -6380833.091941456
b = -172.21013239805396, l = 112.48802150632336, h = -6380509.788677383
b = -122.71633978687717, l = 4.705037683653932, h = -6396823.046617288
b = -174.5404310201798, l = -116.16144604924162, h = -6380287.557795549
b = 104.52048472928813, l = -37.349540166428035, h = -6403241.0473706005
b = 179.77445678655275, l = 115.70313010914654, h = -6380247.244479021
b = -145.7180489826352, l = -157.05853977079937, h = -6387571.593245487
b = -164.79154418554737, l = 128.20355175984508, h = -6380917.586364294
b = 132.12355157078483, l = -27.21532581630839, h = -6392924.835328501
b = -173.95104623055417, l = -86.22765441962481, h = -6380413.028029735
b = 169.6093021405461, l = -156.17469572013434, h = -6380787.63784016
b = -171.4879866616059, l = 113.62216293383405, h = -6380577.278986772
b = -122.44535207983371, l = 3.6549285914425997, h = -6396965.815510312
b = -174.86243146922865, l = -115.51827941470462, h = -6380272.5233504465
b = 105.64049696123588, l = -38.722637895634435, h = -6402722.967053164
b = 179.83427617078374, l = 116.14138806339575, h = -6380272.176526345
b = -145.33330044289573, l = -157.64083162244208, h = -6387731.841201657
b = -162.43672879858065, l = 127.91722104456827, h = -6381390.944984347
b = 130.95952667607528, l = -28.203377147419708, h = -6393410.794182147
b = -174.35594534197025, l = -87.21022642240042, h = -6380397.986486903
b = 169.99833008881467, l = -156.78872196015547, h = -6380743.965076586
b = -170.71330851278003, l = 114.76674393848505, h = -6380658.4971258035
b = -122.21071108262477, l = 2.6218645963943903, h = -6397093.703870548
b = -175.1648254491065, l = -114.88440861435251, h = -6380260.151708411
b = 106.8515921752156, l = -40.07614625978193, h = -6402190.924550608
b = 179.88823864967722, l = 116.5759648621186, h = -6380297.086794586
b = -144.95840780024673, l = -158.21205525168867, h = -6387889.131055507
b = -159.826445866545, l = 127.64459835923599, h = -6381988.875781521
b = 129.8328175661257, l = -29.209090543725654, h = -6393882.662568419
b = -174.73521273941083, l = -88.17376048014968, h = -6380387.088501457
b = 170.3875736067374, l = -157.388077497249, h = -6380702.210106347
b = -169.884971056489, l = 115.92122487629102, h = -6380755.128770753
b = -122.01056145949555, l = 1.6062675223256437, h = -6397207.435168402
b = -175.44879154250523, l = -114.25949302316664, h = -6380250.114069853
b = 108.15982919982666, l = -41.41020953456411, h = -6401639.742089072
b = 179.93837818090347, l = 117.00706291589516, h = -6380321.939579055
b = -144.59269934540984, l = -158.77305751213757, h = -6388043.6111064935
b = -156.960062773638, l = 127.38618353082538, h = -6382728.193477753
b = 128.74652442330995, l = -30.231849640422983, h = -6394338.688301217
b = -175.0900065372303, l = -89.11825681894128, h = -6380379.855024789
b = 170.77558572482334, l = -157.9731306563144, h = -6380662.561300264
b = -169.00165581855003, l = 117.08502507454072, h = -6380869.010840714
b = -121.84235764329712, l = 0.6082542600939889, h = -6397307.979596037
b = -175.7150414364943, l = -113.64435338971693, h = -6380242.14742702
b = 109.57060014780366, l = -42.7257990357613, h = -6401064.043658024
b = 179.98645180557446, l = 117.43441314034739, h = -6380346.741222727
b = -144.23672560887047, l = -159.32338414347856, h = -6388194.97568551
b = -153.84359684914023, l = 127.14205725978543, h = -6383621.861318087
b = 127.70311800553165, l = -31.271256965603087, h = -6394777.4638487995
b = -175.4215523460165, l = -90.0442822527432, h = -6380375.826966257
b = 171.1615092628132, l = -158.54364650112944, h = -6380625.083833988
b = -168.06292837324267, l = 118.25793048942162, h = -6381001.9660610445
b = -121.70561433183734, l = -0.3718357454149295, h = -6397395.458348655
b = -175.96465428355012, l = -113.03865264869896, h = -6380236.005709858
b = 111.0888270288261, l = -44.02304717364126, h = -6400458.371015389
b = -179.96599096216724, l = 117.85869207782144, h = -6380371.454059256
b = -143.88972370976467, l = -159.86315337915374, h = -6388343.434154434
b = -150.4957760339888, l = 126.91309325771181, h = -6384674.722192316
b = 126.70406289768935, l = -32.32656264835022, h = -6395198.14084853
b = -175.73093342982844, l = -90.95161107267568, h = -6380374.626601528
b = 171.5447277283212, l = -159.09962551129107, h = -6380589.816767396
b = -167.06832664404845, l = 119.43888490200914, h = -6381155.913069533
b = -121.5976016783917, l = -1.3345749417705381, h = -6397470.908035883
b = -176.19831888262783, l = -112.4425515195015, h = -6380231.474270581
b = 112.71942006116134, l = -45.302400314617955, h = -6399817.003471503
b = -179.9176417544287, l = 118.27940363333467, h = -6380396.088234458
b = -143.55143018503313, l = -160.39278387833872, h = -6388488.977906474
b = -146.94557143375422, l = 126.70063686901281, h = -6385881.444129198
b = 125.75035741900194, l = -33.39741584499438, h = -6395600.115916336
b = -176.01946707880933, l = -91.84137709557686, h = -6380375.891191053
b = 171.92380602400826, l = -159.6412402588683, h = -6380556.862541937
b = -166.01778243148988, l = 120.62750145604915, h = -6381332.748908416
b = -121.51723419470115, l = -2.2796988093932566, h = -6397534.7200457575
b = -176.41707214691215, l = -111.85604008239731, h = -6380228.32697221
b = 114.46548764981638, l = -46.564309628736574, h = -6399134.738243355
b = -179.86735348740288, l = 118.69698718547463, h = -6380420.6308904365
b = -143.22273854803072, l = -160.912318385947, h = -6388631.205628572
b = -143.23646730562433, l = 126.50504060553199, h = -6387223.039416994
b = 124.84393271146939, l = -34.48318873934525, h = -6395982.500005185
b = -176.28806721744974, l = -92.71339681919102, h = -6380379.285790388
b = 172.29796521978224, l = -160.16813242262904, h = -6380526.234174251
b = -164.91256763948707, l = 121.82328347884264, h = -6381534.192997461
b = -121.46237887917744, l = -3.2072894792891073, h = -6397587.696536041
b = -176.62170710122436, l = -111.279512240322, h = -6380226.386727991
b = 116.32862492336751, l = -47.80927247534113, h = -6398407.0569256125
b = -179.8141457075509, l = 119.11153658657585, h = -6380445.0762560405
b = -142.9032592053267, l = -161.42145183518758, h = -6388770.175019183
b = -139.42132660423422, l = 126.32772079376677, h = -6388667.993586823
b = 123.98528941244341, l = -35.58302476827012, h = -6396345.037417877
b = -176.53823748011774, l = -93.56798410179914, h = -6380384.536960865
b = 172.6666378278735, l = -160.68049790885362, h = -6380497.901549619
b = -163.75343250744706, l = 123.02536613831933, h = -6381761.981245179
b = -121.43175055293445, l = -4.117446570053904, h = -6397630.307779275
b = -176.81290865156572, l = -110.71262043563489, h = -6380225.509005908
b = 118.31035287755289, l = -49.03776282160951, h = -6397629.779286751
b = -179.7572378487854, l = 119.52281460298694, h = -6380469.42479585
b = -142.5920160009202, l = -161.92076337393627, h = -6388906.195488416
b = -135.56043961996045, l = 126.16917789647746, h = -6390174.51388958
b = 123.17552142550214, l = -36.69591996926632, h = -6396687.292430782
b = -176.77074373734806, l = -94.40579060242123, h = -6380391.378925913
b = 173.02874747481115, l = -161.1786333646186, h = -6380471.881647122
b = -162.5429199083681, l = 124.23314163855397, h = -6382017.407507449
b = -121.42492966866, l = -5.010568131016593, h = -6397662.644689422
b = -176.99150897080617, l = -110.15585415557518, h = -6380225.536753243
b = 120.41033626315195, l = -50.25022213466617, h = -6396800.043137013
b = -179.69593677111953, l = 119.93126277071205, h = -6380493.671788866
b = -142.29004426277268, l = -162.41034556930816, h = -6389038.788008805
b = -131.71933163129205, l = 126.03040223893399, h = -6391694.633149064
b = 122.41464796017867, l = -37.821388308481104, h = -6397009.310365065
b = -176.9868172274849, l = -95.22688867154856, h = -6380399.5879387455
b = 173.38401499609796, l = -161.6623827359781, h = -6380448.084795779
b = -161.28343259804961, l = 125.44564232160602, h = -6382301.646812549
b = -121.43998297134434, l = -5.886287195145614, h = -6397685.434482342
b = -177.1583221025691, l = -109.60869663035164, h = -6380226.336264261
b = 122.62200497339104, l = -51.447256866328935, h = -6395918.3482131185
b = -179.6296866518949, l = 120.33662053628355, h = -6380517.844730512
b = -141.9971352007143, l = -162.8900454920971, h = -6389167.973923497
b = -127.95708088435039, l = 125.913432649111, h = -6393183.1940804375
b = 121.70304618286383, l = -38.95805893795795, h = -6397311.003075105
b = -177.18756845616105, l = -96.03191208753451, h = -6380408.952226587
b = 173.73163166976275, l = -162.13159927755208, h = -6380426.493713183
b = -159.9778591544289, l = 126.66271762485522, h = -6382615.559287102
b = -121.47554474487868, l = -6.745335078173611, h = -6397699.203558557
b = -177.3139992178747, l = -109.0718786198103, h = -6380227.787689203
b = 124.94156072027315, l = -52.629519455332264, h = -6394985.421717052
b = -179.5580378808225, l = 120.739236685299, h = -6380541.930038537
b = -141.7123357755304, l = -163.35979945097392, h = -6389294.051398707
b = -124.33107033669546, l = 125.8184345117674, h = -6394600.1598185
b = 121.04005847263153, l = -40.10553085808596, h = -6397592.7205928005
b = -177.3738876967482, l = -96.82121082085104, h = -6380419.29931752
b = 174.070984215953, l = -162.58667832978574, h = -6380407.023936797
b = -158.63014577385783, l = 127.88302658262735, h = -6382959.468555737
b = -121.53101101810537, l = -7.587892320961612, h = -6397704.140522087
b = -177.45918821208863, l = -108.54513764028633, h = -6380229.790311846
b = 127.35778466921217, l = -53.79700757605986, h = -6394006.451470563
b = -179.48063658457596, l = 121.13922079617112, h = -6380565.933776832
b = -141.4362317774317, l = -163.82030325838062, h = -6389416.743906291
b = -120.88483816030525, l = 125.74770698634754, h = -6395918.170890356
b = 120.42634638458325, l = -41.262563385178225, h = -6397854.263288759
b = -177.54672949950864, l = -97.59513087307116, h = -6380430.4723963095
b = 174.40181900932637, l = -163.02757189782307, h = -6380389.570514662
b = -157.24527677539425, l = 129.10600552354836, h = -6383333.122117884
b = -121.60434687284629, l = -8.414000600547075, h = -6397701.0216094
b = -177.59450724028156, l = -108.02821506747415, h = -6380232.254344334
b = 129.85879360329636, l = -54.95048980757408, h = -6392988.6327398885
b = -179.39721765930904, l = 121.53631830567691, h = -6380589.889686967
b = -141.16850827063374, l = -164.2710111479866, h = -6389536.106415102
b = -117.65159271381977, l = 125.70242899046717, h = -6397122.128255299
b = 119.86132239004324, l = -42.428050345544975, h = -6398095.9551514145
b = -177.70716305126757, l = -98.35376389563167, h = -6380442.326343171
b = 174.7234720060924, l = -163.4540476875554, h = -6380374.0680191275
b = -155.82752619824853, l = 130.33095545411732, h = -6383736.058055577
b = -121.69582222739578, l = -9.224079374839496, h = -6397689.694896825
b = -177.72061437348955, l = -107.52181823754647, h = -6380235.087584367
b = 132.42838650296568, l = -56.09015801423455, h = -6391942.6323849205
b = -179.30755434132973, l = 121.93100975409313, h = -6380613.782488688
b = -140.9094393149051, l = -164.71252930019887, h = -6389651.979670532
b = -114.65033084876079, l = 125.6844565377318, h = -6398209.779093256
b = 119.34403842609366, l = -43.60062585024205, h = -6398318.25088709
b = -177.85585712705506, l = -99.0979878529361, h = -6380454.738184801
b = 175.03557824572135, l = -163.8668629746442, h = -6380360.401003393
b = 116.41042275137937, l = 131.55695634317533, h = -6399457.583706504
b = -177.90294245531416, l = -99.34276403423098, h = -6380458.974101098
b = 175.13736260214827, l = -164.0011904779124, h = -6380356.239485404
b = 116.2424053411141, l = 131.9656407715375, h = -6399529.391539059
b = -177.94890629168447, l = -99.58605851368075, h = -6380463.260474501
b = 175.2382099102152, l = -164.134069824621, h = -6380352.258155493
b = 116.07903802042439, l = 132.37439252918264, h = -6399599.348881081
b = -177.99370332832262, l = -99.8278900080407, h = -6380467.59601301
b = 175.33790537976603, l = -164.2654356038291, h = -6380348.4569352865
b = 115.91949783947096, l = 132.78294186063445, h = -6399667.773409532
b = -178.03734873186116, l = -100.0680761052071, h = -6380471.9661478605
b = 175.4364920827632, l = -164.39537429930988, h = -6380344.837958639
b = 115.76458664423066, l = 133.19173569657116, h = -6399734.337079461
b = -178.0799445012451, l = -100.30664025463494, h = -6380476.365623827
b = 175.53393074233261, l = -164.52355474732727, h = -6380341.391995677
b = 115.61453514352269, l = 133.60009761083938, h = -6399798.952354037
b = -178.12146380392724, l = -100.54380330712918, h = -6380480.80446301
b = 175.63024930061854, l = -164.65032904726567, h = -6380338.119595762
b = 115.46780023748065, l = 134.00865684902914, h = -6399862.256157228
b = -178.16192101651913, l = -100.77938730663593, h = -6380485.2683745595
b = 175.7254108095382, l = -164.77536749185492, h = -6380335.011293911
b = 115.3261592159, l = 134.41674699716853, h = -6399923.501266755
b = -179.62071817704145, l = -101.01341504125169, h = -6380468.559950039
b = -178.08175011685472, l = -105.90601059078095, h = -6380246.26745004
b = 141.24342180498087, l = -59.79770469714619, h = -6388430.628826326
b = -122.16646506775824, l = -12.061223793005718, h = -6397585.506697603
b = -90.61434360745548, l = -111.52001031208628, h = -6456364.957512608
b = -106.38830441613534, l = 125.84640132480908, h = -6401128.9229937
b = -178.8944192733058, l = 58.94316455348997, h = -6380637.871180163
b = -178.2359971383733, l = -174.48091867448943, h = -6380463.64983466
b = 176.00384338889694, l = -165.14199386328877, h = -6380326.643470551
b = 114.92512990269404, l = 135.64043364093493, h = -6400097.688648737
b = -179.63214734191095, l = -101.7071431404471, h = -6380484.7888611
b = -178.17420409266734, l = -105.44324656863886, h = -6380249.909638635
b = 143.87835957216447, l = -60.883836875560924, h = -6387430.108018504
b = -122.32831790272962, l = -12.800183188889742, h = -6397541.25268136
b = -90.51252170947329, l = -111.62304251447615, h = -6465943.154140087
b = -104.4061272323585, l = 125.9704595720478, h = -6401861.876270768
b = -178.7523161099138, l = 59.62964639662142, h = -6380632.761442787
b = -178.340185842145, l = -174.61447278132835, h = -6380470.791730506
b = 176.27201102562165, l = -165.49473503753072, h = -6380319.60645761
b = 114.56084293457985, l = 136.86191128666977, h = -6400257.10597821
b = -179.64233048653392, l = -102.38765409675246, h = -6380500.820763181
b = -178.26018780310633, l = -104.99054776396581, h = -6380253.60422616
b = 146.47056219399101, l = -61.958999019973945, h = -6386480.251195571
b = -122.50305053177361, l = -13.524892415500293, h = -6397490.778431054
b = -90.42127356416978, l = -111.7638979332981, h = -6478288.182125927
b = -102.62915246044264, l = 126.13384907351127, h = -6402565.597762503
b = -178.5971773015023, l = 60.31785030972089, h = -6380628.1221949635
b = -178.43731477431618, l = -174.73521746778502, h = -6380477.776000755
b = 176.52938917949245, l = -165.83399501241064, h = -6380313.784990717
b = 114.23185363861501, l = 138.0796285248456, h = -6400402.313868563
b = -179.65134014460295, l = -103.05560087739242, h = -6380516.623160949
b = 136.64553677040718, l = -136.02797092439894, h = -6389231.252449815
b = 114.13014899346084, l = 138.48494357617088, h = -6400447.489853734
b = -179.65409856858815, l = -103.27548768578708, h = -6380521.83915021
b = 136.79340254786263, l = -135.95919197508556, h = -6389165.724829581
b = 114.03228775904326, l = 138.88958631093638, h = -6400491.1251196945
b = -179.65675226593595, l = -103.4939890406561, h = -6380527.0350726545
b = 136.95397408128537, l = -135.888722540954, h = -6389095.372267807
b = 113.93781836761586, l = 139.2938079089971, h = -6400533.3694527345
b = -179.6592609253859, l = -103.71123630243048, h = -6380532.191246571
b = 137.12839205633972, l = -135.8159596959151, h = -6389019.776802745
b = 113.8474231608293, l = 139.6973253209922, h = -6400573.958436359
b = -179.66166916163274, l = -103.9270793294684, h = -6380537.336201151
b = 137.31488519740682, l = -135.7414394388203, h = -6388939.636922371
b = 113.76027745484141, l = 140.10060145116128, h = -6400613.230952697
b = -179.66397725192783, l = -104.14170807695137, h = -6380542.440393211
b = 137.51720877419837, l = -135.6645504637526, h = -6388853.523210126
b = 113.67716787465606, l = 140.50293908851555, h = -6400650.836381499
b = -179.66614697669138, l = -104.35502646279221, h = -6380547.523012991
b = 137.73398110192736, l = -135.5858236334738, h = -6388762.007557337
b = 113.59771896888579, l = 140.9049652474919, h = -6400686.96330258
b = -179.66822031184188, l = -104.56711135714538, h = -6380552.5737791695
b = 137.96383209270854, l = -135.5040759672121, h = -6388665.627914863
b = 113.52167158979833, l = 141.30626625821697, h = -6400721.686954775
b = -179.67017877998168, l = -104.77769261337984, h = -6380557.599521855
b = 138.21066408817717, l = -135.42100820811925, h = -6388562.913656204
b = 113.44919838601867, l = 141.70658552000168, h = -6400754.938818721
b = -179.672023340301, l = -104.9873678701896, h = -6380562.585588702
b = 138.47303985398509, l = -135.33600875600413, h = -6388454.466492451
b = 113.38009809207438, l = 142.10660002548937, h = -6400786.794665538
b = -179.6737759739906, l = -105.1955772231995, h = -6380567.545715734
b = 138.75094835332865, l = -135.24786148554722, h = -6388340.3107475145
b = 113.31444434569256, l = 142.50580018558983, h = -6400817.247262375
b = -179.67541791193244, l = -105.40233921971526, h = -6380572.479504277
b = 179.8963156035237, l = -135.15831015039237, h = -6378810.133173507
b = 157.46100375032276, l = -66.83961670317547, h = -6382985.860161046
b = -123.47092640403493, l = -16.72734994354586, h = -6397179.561959832
b = -140.03183159349567, l = -113.00216066388842, h = -6387634.591538503
b = -93.06682108562566, l = 85.19212395122425, h = -6411052.502450657
b = -177.6783967601585, l = 63.543655399250106, h = -6380616.016972921
b = -178.8107845413992, l = -175.13797096257133, h = -6380507.228238236
b = 113.13151029916223, l = 173.95428682250534, h = -6397468.186764398
b = 113.1389010943715, l = 143.6989806920313, h = -6400899.695156877
b = -179.67971029779278, l = -106.01608498327197, h = -6380587.079633429
b = 179.91225199199107, l = -134.87491504261078, h = -6378794.5556513835
b = 159.49925638770625, l = -67.85859410574412, h = -6382457.323129827
b = -123.707831495765, l = -17.377317248962886, h = -6397097.881484774
b = -139.4748576236107, l = -113.40923470806719, h = -6387828.735282982
b = -92.54559621383747, l = 85.61348295728271, h = -6412945.21739713
b = -177.43526698053324, l = 64.23762360644668, h = -6380616.366405239
b = -178.87626740767294, l = -175.19090762206835, h = -6380512.669271425
b = 114.21397371059737, l = 174.6192306946029, h = -6397096.42894189
b = 112.99306797905413, l = 144.8846484603057, h = -6400969.764582259
b = -179.68310503729822, l = -106.61896418465248, h = -6380601.384243071
b = 179.92800866903235, l = -134.57111905958263, h = -6378779.402150001
b = 161.4110099692862, l = -68.86873020425857, h = -6382001.7375802025
b = -123.95338112003473, l = -18.01548236290545, h = -6397011.6470233025
b = -138.89122050965432, l = -113.87241352217632, h = -6388034.077220094
b = -92.09008605415987, l = 86.10152402438028, h = -6415277.129722268
b = -177.17432080194922, l = 64.93251931180727, h = -6380618.142053409
b = -178.9374491940008, l = -175.23196713206914, h = -6380517.771629939
b = 179.94782764647252, l = -167.75554587472655, h = -6380269.437622828
b = 162.614035192023, l = -69.53748533340962, h = -6381735.940386358
b = -124.12180087937715, l = -18.434245487917035, h = -6396951.644792393
b = -89.99615429078541, l = -114.21376285555957, h = 754353.9246170623
b = 115.97838225659086, l = 175.6249746526733, h = -6396489.387420876
b = 112.84391784215582, l = 146.45290110899322, h = -6401044.178523925
b = -179.68627531712588, l = -107.40644515394779, h = -6380619.9591949675
b = 179.94812711678273, l = -134.13028313425934, h = -6378759.859664152
b = 163.7600229589062, l = -70.20257143132079, h = -6381498.288581283
b = -124.2940902933008, l = -18.847971462894126, h = -6396889.595094925
b = -138.07612414211536, l = -114.58271292458039, h = -6388323.598681398
b = -91.57344787715326, l = 86.86948365778302, h = -6419363.692933072
b = -176.79765436172664, l = 65.8600255202376, h = -6380623.095157003
b = -179.0127738270029, l = -175.26928141164245, h = -6380523.989843059
b = 117.59162365456517, l = 176.4720896972957, h = -6395928.551739418
b = 112.76535946400006, l = 147.6189086577565, h = -6401085.894815867
b = -179.68764166476615, l = -107.98551133670608, h = -6380633.522258934
b = 179.96218839930955, l = -133.77393260806107, h = -6378745.727317367
b = 165.37237362610932, l = -71.19374773406312, h = -6381190.435497319
b = -124.55922792573442, l = -19.459406341302216, h = -6396792.918940157
b = -137.44402565499485, l = -115.18868212589658, h = -6388549.915389123
b = -91.24652679398805, l = 87.54601545072718, h = -6423513.764062569
b = -176.4927962367822, l = 66.55664842228222, h = -6380629.07547405
b = -179.06496688176424, l = -175.28409537205127, h = -6380528.2077071555
b = 119.5013876951023, l = 177.39881282781542, h = -6395254.182919804
b = 112.7146926259726, l = 148.77554730710432, h = -6401115.719330078
b = -179.68817338225645, l = -108.5546038545421, h = -6380646.749396063
b = 179.97518935101039, l = -133.39364081274593, h = -6378732.049059032
b = 166.86086547856138, l = -72.1772026440477, h = -6380934.621505898
b = -124.83191513423992, l = -20.05988644638193, h = -6396692.106491474
b = -179.59277019208133, l = -115.86034788526419, h = -6378587.882074923
b = 120.96471303753819, l = 178.06108470352078, h = -6394728.947977234
b = 112.69561051360326, l = 149.54112133738994, h = -6401129.332495649
b = -179.68806286497457, l = -108.9289190725284, h = -6380655.373082652
b = -129.00990785374572, l = -169.10254155029105, h = -6391714.673099585
b = -90.8814422310148, l = 88.60783892354408, h = -6431428.206457071
b = -176.0556010344873, l = 67.48597816827309, h = -6380640.545186955
b = -179.12929163067767, l = -175.28664639805697, h = -6380533.201772582
b = 179.98693956228757, l = -100.25247460802649, h = -6378569.506935976
b = 168.22892285571243, l = -73.15314192827246, h = -6380724.337377341
b = -125.11191461491428, l = -20.649803663410655, h = -6396587.280687679
b = -179.57779453383932, l = -116.59946760704987, h = -6378577.4333714405
b = 123.48175145591699, l = 179.1245693500878, h = -6393808.190327969
b = 112.68942375046085, l = 150.68090897259273, h = -6401140.081877125
b = -179.68722423098876, l = -109.48258933064105, h = -6380668.013871692
b = -127.87513673776112, l = -168.8698339683758, h = -6392126.15971687
b = -90.65490104456036, l = 89.54546637589378, h = -6440396.364661791
b = -175.70397748590278, l = 68.18357958527479, h = -6380652.145134507
b = -179.17392543983703, l = -175.27563894915593, h = -6380536.472805861
b = 179.99877956153324, l = -100.3031624556554, h = -6378563.039830575
b = 169.48170488937942, l = -74.12222239536068, h = -6380553.23357195
b = -125.39875349913396, l = -21.229702275480687, h = -6396478.6413130555
b = -179.5685485268365, l = -117.40858489189529, h = -6378567.455658521
b = 126.43649612567083, l = -179.73214270552273, h = -6392702.297147887
b = 112.70922340568845, l = 151.8101455455747, h = -6401139.612582685
b = -179.68557027835055, l = -110.02702104723922, h = -6380680.289666184
b = -126.6619877490988, l = -168.6900675259798, h = -6392563.326727508
